profile,events,recommendations,exhaustions,max_prefix_jvp,max_post_speculative_fraction
N=96,25,12,0,31,0.040697674418604654
N=192,23,13,0,67,0.04883720930232558
N=256,23,11,0,43,0.04433139534883721
N=320 fresh,29,13,1,80,0.04883720930232558
N=384 replay,27,15,1,80,0.040697674418604654
