feature,pooled_auc,min_dimension_auc,max_dimension_auc,dimension96_orientation,dimension256_orientation,dimension_orientation_agrees,min_leave_one_family_out_auc,median_leave_one_family_out_auc,pooled_average_precision,passes_predeclared_gate
zeta34,0.7674418604651163,0.7105263157894737,1.0,higher-is-unsafe,higher-is-unsafe,True,0.6875,0.7598055372445617,0.24385706914344685,True
zeta23,0.7627906976744185,0.7105263157894738,1.0,higher-is-unsafe,higher-is-unsafe,True,0.6875,0.750609756097561,0.24134199134199133,False
remainder_chi34,0.6093023255813954,0.75,0.9166666666666666,lower-is-unsafe,higher-is-unsafe,False,0.5405405405405406,0.6111280487804878,0.3894346757421063,False
stage_log_curvature_kappa234,0.6651162790697676,0.6842105263157895,0.7916666666666666,higher-is-unsafe,higher-is-unsafe,True,0.5333333333333334,0.6641463414634146,0.36303030303030304,False
relative_drift,0.5767441860465116,0.5394736842105263,0.9166666666666666,higher-is-unsafe,higher-is-unsafe,True,0.5333333333333333,0.5690548780487805,0.273632538569425,False
