feature,held_out_family,rows,unsafe,orientation,orientation_free_auc,oriented_average_precision,raw_auc
stage_log_curvature_kappa234,hires-ramped,43,3,higher-is-unsafe,0.7583333333333333,0.18095238095238095,0.7583333333333333
stage_log_curvature_kappa234,nonautonomous-stiff-forcing,28,3,higher-is-unsafe,0.5333333333333334,0.42165242165242167,0.5333333333333334
stage_log_curvature_kappa234,robertson-ramped,45,5,higher-is-unsafe,0.6599999999999999,0.3663492063492063,0.6599999999999999
stage_log_curvature_kappa234,rotating-nonnormal,37,5,higher-is-unsafe,0.6375000000000001,0.3759614723082215,0.6375000000000001
stage_log_curvature_kappa234,semilinear-advection-diffusion-ramped,46,5,higher-is-unsafe,0.6682926829268293,0.3677002583979328,0.6682926829268293
stage_log_curvature_kappa234,van-der-pol-ramped,41,4,higher-is-unsafe,0.7094594594594595,0.4661172161172161,0.7094594594594595
remainder_chi23,hires-ramped,43,3,lower-is-unsafe,0.6166666666666666,0.16520467836257308,0.3833333333333333
remainder_chi23,nonautonomous-stiff-forcing,28,3,higher-is-unsafe,0.8266666666666667,0.33535353535353535,0.8266666666666667
remainder_chi23,robertson-ramped,45,5,higher-is-unsafe,0.6,0.2593859649122807,0.6
remainder_chi23,rotating-nonnormal,37,5,higher-is-unsafe,0.5874999999999999,0.2591287878787879,0.5874999999999999
remainder_chi23,semilinear-advection-diffusion-ramped,46,5,higher-is-unsafe,0.5902439024390244,0.24611518562738077,0.5902439024390244
remainder_chi23,van-der-pol-ramped,41,4,higher-is-unsafe,0.527027027027027,0.23178893178893178,0.527027027027027
remainder_chi34,hires-ramped,43,3,lower-is-unsafe,0.5999999999999999,0.1638888888888889,0.4
remainder_chi34,nonautonomous-stiff-forcing,28,3,higher-is-unsafe,0.88,0.5777777777777777,0.88
remainder_chi34,robertson-ramped,45,5,higher-is-unsafe,0.615,0.4010526315789474,0.615
remainder_chi34,rotating-nonnormal,37,5,higher-is-unsafe,0.6125,0.40458333333333335,0.6125
remainder_chi34,semilinear-advection-diffusion-ramped,46,5,higher-is-unsafe,0.6097560975609756,0.3915697310819262,0.6097560975609756
remainder_chi34,van-der-pol-ramped,41,4,higher-is-unsafe,0.5405405405405406,0.3984555984555984,0.5405405405405406
remainder_chi24,hires-ramped,43,3,lower-is-unsafe,0.6166666666666666,0.16520467836257308,0.3833333333333333
remainder_chi24,nonautonomous-stiff-forcing,28,3,higher-is-unsafe,0.8533333333333333,0.3686868686868687,0.8533333333333333
remainder_chi24,robertson-ramped,45,5,higher-is-unsafe,0.61,0.2793859649122807,0.61
remainder_chi24,rotating-nonnormal,37,5,higher-is-unsafe,0.6,0.27912878787878787,0.6
remainder_chi24,semilinear-advection-diffusion-ramped,46,5,higher-is-unsafe,0.6,0.26611518562738073,0.6
remainder_chi24,van-der-pol-ramped,41,4,higher-is-unsafe,0.5405405405405406,0.2567889317889318,0.5405405405405406
remainder_q34_perp,hires-ramped,43,3,higher-is-unsafe,0.5999999999999999,0.1638888888888889,0.5999999999999999
remainder_q34_perp,nonautonomous-stiff-forcing,28,3,lower-is-unsafe,0.88,0.5777777777777777,0.11999999999999998
remainder_q34_perp,robertson-ramped,45,5,lower-is-unsafe,0.615,0.4010526315789474,0.38499999999999995
remainder_q34_perp,rotating-nonnormal,37,5,lower-is-unsafe,0.6125,0.40458333333333335,0.3875
remainder_q34_perp,semilinear-advection-diffusion-ramped,46,5,lower-is-unsafe,0.6097560975609756,0.3915697310819262,0.39024390243902435
remainder_q34_perp,van-der-pol-ramped,41,4,lower-is-unsafe,0.5405405405405406,0.3984555984555984,0.45945945945945943
remainder_delta_chi,hires-ramped,43,3,lower-is-unsafe,0.6083333333333333,0.1862950058072009,0.3916666666666666
remainder_delta_chi,nonautonomous-stiff-forcing,28,3,higher-is-unsafe,0.8133333333333334,0.30634920634920637,0.8133333333333334
remainder_delta_chi,robertson-ramped,45,5,higher-is-unsafe,0.595,0.2665697310819262,0.595
remainder_delta_chi,rotating-nonnormal,37,5,higher-is-unsafe,0.5875,0.28944281524926685,0.5875
remainder_delta_chi,semilinear-advection-diffusion-ramped,46,5,higher-is-unsafe,0.575609756097561,0.2276190476190476,0.575609756097561
remainder_delta_chi,van-der-pol-ramped,41,4,higher-is-unsafe,0.5067567567567568,0.1823841698841699,0.5067567567567568
