feature,pooled_auc,min_dimension_auc,max_dimension_auc,min_leave_one_family_out_auc,median_leave_one_family_out_auc,pooled_average_precision
remainder_chi34,0.6093023255813954,0.75,0.9166666666666666,0.5405405405405406,0.6111280487804878,0.3894346757421063
remainder_q34_perp,0.6093023255813954,0.75,0.9166666666666666,0.5405405405405406,0.6111280487804878,0.3894346757421063
remainder_chi24,0.6,0.7302631578947368,0.9166666666666666,0.5405405405405406,0.605,0.2639801302875608
stage_log_curvature_kappa234,0.6651162790697676,0.6842105263157895,0.7916666666666666,0.5333333333333334,0.6641463414634146,0.36303030303030304
remainder_chi23,0.5906976744186047,0.7236842105263157,0.9166666666666666,0.527027027027027,0.5951219512195122,0.24398013028756077
remainder_delta_chi,0.5767441860465117,0.6973684210526315,0.9583333333333334,0.5067567567567568,0.59125,0.22558441558441555
