feature,class,count,min,median,max
stage_log_curvature_kappa234,safe,43,-0.3680556662460126,-0.01862239992887793,0.23086478037420544
stage_log_curvature_kappa234,unsafe,5,-0.11961374202452957,0.05209248643174247,0.26846467816720887
remainder_chi23,safe,43,0.994009347109974,0.9999842610845757,1.0
remainder_chi23,unsafe,5,0.9997812888313445,0.9999999777213431,0.9999999999999998
remainder_chi34,safe,43,0.9975434531894842,0.9999617480697535,0.9999999999999997
remainder_chi34,unsafe,5,0.9994411504859773,0.9999999992135792,1.0
remainder_chi24,safe,43,0.9839113511741309,0.9998995085120972,1.0
remainder_chi24,unsafe,5,0.9985234789635095,0.9999999852960778,1.0
remainder_q34_perp,safe,43,2.5809568279517847e-08,0.00874656488473341,0.0700504032736378
remainder_q34_perp,unsafe,5,0.0,3.965906749674793e-05,0.03342733485137841
remainder_delta_chi,safe,43,-0.0009786256871989751,-1.5521952185126864e-05,0.003534106079510213
remainder_delta_chi,unsafe,5,-0.00034013834536728016,-5.551115123125783e-16,2.149223610192763e-08
