profile,family,dimension,rtol,decision_accepted_step,target_attempt_index,t_start,h,zeta34,full_e_total_error,full_e_locally_admissible,target_rjf_jvp_vectors,prefix_jvp_vectors,continuation_jvp_vectors,full_e_jvp_vectors,prefix_over_target_rjf_jvp,continuation_over_target_rjf_jvp,full_e_over_target_rjf_jvp,continuation_over_prefix_jvp,source_file,source_sha256
N256,robertson-ramped,256,3e-05,14,17,0.05618652946856745,0.00621040466738395,4.600461072345212,0.04486950120967954,True,118,21,12,33,0.17796610169491525,0.1016949152542373,0.2796610169491525,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration256/robertson.json,a5b1c6b6a57e94e7bf217b86bf381c7728269d8434639f113284f0d7dc1ad447
N256,rotating-nonnormal,256,3e-05,7,9,0.24229086462023972,0.024994283910937668,0.9098848125380208,0.03956481139374672,True,142,19,12,31,0.13380281690140844,0.08450704225352113,0.21830985915492956,0.631578947368421,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration256/rotating-nonnormal.json,c5cc6988c2dd96aa692835e03f834bb04909ca70b9c7a39b1ce14fa8045aaa74
N256,rotating-nonnormal,256,3e-05,20,23,0.489846817380506,0.012185335063621508,4.797140727228753,0.4382889212983995,True,142,19,12,31,0.13380281690140844,0.08450704225352113,0.21830985915492956,0.631578947368421,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration256/rotating-nonnormal.json,c5cc6988c2dd96aa692835e03f834bb04909ca70b9c7a39b1ce14fa8045aaa74
N256,rotating-nonnormal,256,3e-05,36,39,0.6588994415849827,0.007570593132070694,0.7253141072139279,0.224564093252489,True,142,21,14,35,0.14788732394366197,0.09859154929577464,0.24647887323943662,0.6666666666666666,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration256/rotating-nonnormal.json,c5cc6988c2dd96aa692835e03f834bb04909ca70b9c7a39b1ce14fa8045aaa74
N256,rotating-nonnormal,256,3e-05,55,58,0.8195596319218308,0.009215171173720907,0.91500085046208,0.1638675457816594,True,142,23,16,39,0.1619718309859155,0.11267605633802817,0.2746478873239437,0.6956521739130435,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration256/rotating-nonnormal.json,c5cc6988c2dd96aa692835e03f834bb04909ca70b9c7a39b1ce14fa8045aaa74
N256,rotating-nonnormal,256,3e-05,75,78,0.9943861530745877,0.005613846925412336,0.6278712823438235,0.04004774708268026,True,142,21,12,33,0.14788732394366197,0.08450704225352113,0.2323943661971831,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration256/rotating-nonnormal.json,c5cc6988c2dd96aa692835e03f834bb04909ca70b9c7a39b1ce14fa8045aaa74
N256,semilinear-advection-diffusion-ramped,256,3e-05,16,19,0.7606516690287735,0.02140633176279981,0.06718411902091964,0.010356490845146612,True,913,43,44,87,0.047097480832420595,0.04819277108433735,0.09529025191675794,1.0232558139534884,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration256/semilinear.json,b3e2b76f6351adc23888b01454fba4aee0ff631a15756470a07b85461eb97c44
N256,van-der-pol-ramped,256,3e-05,4,7,0.10553109227247634,0.02523870493443927,0.9243144543851679,0.018896246566391408,True,142,19,12,31,0.13380281690140844,0.08450704225352113,0.21830985915492956,0.631578947368421,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration256/van-der-pol.json,2d74b078d3877605b9ece12634f7fcba528ba598809031092ea28ee770b88c7b
N256,van-der-pol-ramped,256,3e-05,29,36,0.5483910513294966,0.010426085676825216,10.78074682166619,0.2621078637293579,True,142,21,14,35,0.14788732394366197,0.09859154929577464,0.24647887323943662,0.6666666666666666,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration256/van-der-pol.json,2d74b078d3877605b9ece12634f7fcba528ba598809031092ea28ee770b88c7b
N320,hires-ramped,320,1e-05,15,17,0.7058449061040961,0.03960911733958495,2.3756526185457116,0.1098454922535801,True,86,21,12,33,0.2441860465116279,0.13953488372093023,0.38372093023255816,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/fresh_holdout320/hires.json,06aaf326b90eb4151f333528b9cd112c52844d8fa2f5ccde75bd5bc9265d9836
N320,nonautonomous-stiff-forcing,320,1e-05,100,109,0.560428841080062,0.0027570537325670476,12.630252958670235,0.05870985928867519,True,118,17,8,25,0.1440677966101695,0.06779661016949153,0.211864406779661,0.47058823529411764,research/generic_enforced_prefix_budget_v35/results/fresh_holdout320/nonautonomous-forcing.json,a8496db1732e5ad97a5d1623da6da0d16d29d76def0d53826fed676df4df87c9
N320,robertson-ramped,320,1e-05,7,9,0.012852432732633506,0.0035371892332928807,0.8676681740231563,0.021795329706218825,True,118,19,12,31,0.16101694915254236,0.1016949152542373,0.2627118644067797,0.631578947368421,research/generic_enforced_prefix_budget_v35/results/fresh_holdout320/robertson.json,0ee260609290f291f8cfd27b8145a9a79b203fd8be48b97a8cfe214336af411e
